Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
9,9.07042E+12,41,234,1,16,9,141,3,0,0,2,56,0,0,0,0,0,0,0,2,143,1,0,0,0,2,1,5,5,0,0,0,0,0,38,3,143,6,350,0,0,0,0,0,39,46,6,24,2,15,11,1,5,0,11,6,1,1529,8,111,10,4,1,0,3,2,0
9,2.29001E+14,35,330,4,19,14,292,4,0,0,3,90,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,8,8,0,0,0,0,0,56,2,96,9,515,0,0,0,1,0,50,24,4,24,3,23,0,0,3,0,11,12,1,1638,6,38,6,4,0,0,3,3,0
9,9.04042E+12,42,111,1,26,19,376,3,0,0,4,66,0,2,7,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,31,6,192,6,314,0,0,0,2,1,50,14,8,36,4,23,0,3,2,0,7,14,1,1953,4,44,12,4,0,0,3,2,1
9,9.01962E+12,49,273,0,27,19,247,2,1,0,6,107,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,1,1,0,0,0,21,1,43,4,225,0,0,1,1,1,21,46,7,10,0,0,2,0,2,0,16,8,0,2134,3,26,14,7,2,0,5,2,2
9,1.28001E+14,32,205,1,35,20,322,3,1,0,4,58,0,2,-1,0,0,0,0,2,1,0,0,0,0,1,0,4,3,0,0,0,0,0,27,3,128,4,247,0,0,1,1,0,33,50,6,16,1,5,0,0,3,0,8,13,1,1603,5,48,12,5,3,0,2,1,0
28,2.94003E+14,39,199,3,30,17,208,1,0,0,2,70,0,4,42,0,0,0,0,4,67,1,0,0,0,6,5,5,5,0,0,0,0,0,50,2,69,10,686,2,0,0,1,0,33,18,10,32,2,19,0,2,3,1,9,9,2,2054,8,67,14,4,2,2,10,3,5
28,4.98003E+14,34,118,3,33,19,220,1,0,0,2,133,1,3,32,0,0,0,0,2,34,0,0,0,0,1,1,5,5,0,0,0,0,0,38,5,231,7,411,0,0,0,1,0,40,14,5,8,0,0,0,0,3,0,6,8,1,1949,12,122,15,7,1,0,5,4,1
28,2.80257E+13,28,88,0,32,10,116,1,1,0,3,51,0,2,29,0,0,0,0,2,69,1,0,0,0,2,1,2,2,0,0,0,0,0,17,7,293,4,210,0,1,0,0,0,33,32,3,8,0,0,0,1,4,0,5,6,3,1803,8,74,13,4,0,0,3,1,1
28,5.28003E+14,31,68,1,58,32,338,1,1,0,5,73,0,1,14,0,0,0,0,1,-5,0,0,0,0,1,1,2,2,0,0,0,0,0,17,5,267,4,218,0,2,0,3,1,34,16,3,14,1,8,0,0,3,0,4,20,2,2124,10,80,18,4,7,5,4,2,1
28,2.80754E+13,37,220,3,33,22,190,1,3,1,3,33,0,5,30,0,0,0,0,2,27,0,0,0,0,0,0,3,1,1,1,0,0,0,27,5,244,5,284,0,0,0,3,3,47,12,23,110,12,82,6,3,2,0,14,7,1,1742,6,70,12,3,2,1,5,4,0
