Date,Day,Winner,Pts,Loser,Pts
9/14/2013,Sat,Indiana,42,Bowling Green State,10
9/14/2013,Sat,Iowa,27,Iowa State,21
9/14/2013,Sat,Kansas State,37,Massachusetts,7
9/14/2013,Sat,Louisiana,70,Nicholls State,7
9/14/2013,Sat,LSU,45,Kent State,13
9/14/2013,Sat,Louisiana-Monroe,21,Wake Forest,19
9/14/2013,Sat,Louisville,27,Kentucky,13
9/14/2013,Sat,Maryland,32,Connecticut,21
9/14/2013,Sat,Michigan,28,Akron,24
9/14/2013,Sat,Michigan State,55,Youngstown State,17
9/14/2013,Sat,Middle Tennessee State,17,Memphis,15
9/14/2013,Sat,Minnesota,29,Western Illinois,12
9/14/2013,Sat,Mississippi,44,Texas,23
9/14/2013,Sat,Navy,51,Delaware,7
9/14/2013,Sat,Nevada-Las Vegas,31,Central Michigan,21
9/14/2013,Sat,North Texas,34,Ball State,27
9/14/2013,Sat,Northern Illinois,45,Idaho,35
9/14/2013,Sat,Northwestern,38,Western Michigan,17
9/14/2013,Sat,Notre Dame,31,Purdue,24
9/14/2013,Sat,Ohio,34,Marshall,31
9/14/2013,Sat,Ohio State,52,California,34
9/14/2013,Sat,Oklahoma,51,Tulsa,20
9/14/2013,Sat,Oklahoma State,59,Lamar,3
9/14/2013,Sat,Oregon,59,Tennessee,14
9/14/2013,Sat,Oregon State,51,Utah,48
9/14/2013,Sat,Pittsburgh,49,New Mexico,27
9/14/2013,Sat,Rice,23,Kansas,14
9/14/2013,Sat,Rutgers,28,Eastern Michigan,10
9/14/2013,Sat,South Alabama,31,Western Kentucky,24
9/14/2013,Sat,South Carolina,35,Vanderbilt,25
9/14/2013,Sat,USC,35,Boston College,7
9/14/2013,Sat,Stanford,34,Army,20
9/14/2013,Sat,Syracuse,54,Wagner,0
9/14/2013,Sat,Texas-El Paso,42,New Mexico State,21
9/14/2013,Sat,Toledo,33,Eastern Washington,21
9/14/2013,Sat,UCLA,41,Nebraska,21
9/14/2013,Sat,Utah State,70,Weber State,6
9/14/2013,Sat,Virginia Tech,15,East Carolina,10
9/14/2013,Sat,Washington,34,Illinois,24
9/14/2013,Sat,Washington State,48,Southern Utah,10
9/14/2013,Sat,West Virginia,41,Georgia State,7
9/14/2013,Sat,Wyoming,35,Northern Colorado,7
9/19/2013,Thu,Clemson,26,North Carolina State,14
9/20/2013,Fri,Fresno State,41,Boise State,40
9/21/2013,Sat,Alabama,31,Colorado State,6
9/21/2013,Sat,Alabama-Birmingham,52,Northwestern State,28
9/21/2013,Sat,Ball State,51,Eastern Michigan,20
9/21/2013,Sat,Baylor,70,Louisiana-Monroe,7
9/21/2013,Sat,Bowling Green State,48,Murray State,7
9/21/2013,Sat,Cincinnati,14,Miami (OH),0
9/21/2013,Sat,Florida,31,Tennessee,17
9/21/2013,Sat,Florida State,54,Bethune-Cookman,6
9/21/2013,Sat,Georgia,45,North Texas,21
9/21/2013,Sat,Georgia Tech,28,North Carolina,20
9/21/2013,Sat,Houston,31,Rice,26
9/21/2013,Sat,Iowa,59,Western Michigan,3
9/21/2013,Sat,Jacksonville State,32,Georgia State,26
9/21/2013,Sat,Kansas,13,Louisiana Tech,10
9/21/2013,Sat,Louisiana,35,Akron,30
9/21/2013,Sat,LSU,35,Auburn,21
9/21/2013,Sat,Louisville,72,Florida International,0
9/21/2013,Sat,Maryland,37,West Virginia,0
9/21/2013,Sat,Memphis,31,Arkansas State,7
9/21/2013,Sat,Miami (Florida),77,Savannah State,7
9/21/2013,Sat,Michigan,24,Connecticut,21
9/21/2013,Sat,Middle Tennessee State,42,Florida Atlantic,35
9/21/2013,Sat,Minnesota,43,San Jose State,24
9/21/2013,Sat,Mississippi State,62,Troy,7
9/21/2013,Sat,Missouri,45,Indiana,28
9/21/2013,Sat,Nebraska,59,South Dakota State,20
9/21/2013,Sat,Nevada,31,Hawaii,9
9/21/2013,Sat,Nevada-Las Vegas,38,Western Illinois,7
9/21/2013,Sat,Northern Illinois,43,Eastern Illinois,39
9/21/2013,Sat,Northwestern,35,Maine,21
9/21/2013,Sat,Notre Dame,17,Michigan State,13
9/21/2013,Sat,Ohio,38,Austin Peay,0
9/21/2013,Sat,Ohio State,76,Florida A&M,0
9/21/2013,Sat,Oregon State,34,San Diego State,30
9/21/2013,Sat,Penn State,34,Kent State,0
9/21/2013,Sat,Pittsburgh,58,Duke,55
9/21/2013,Sat,Rutgers,28,Arkansas,24
9/21/2013,Sat,USC,17,Utah State,14
9/21/2013,Sat,Stanford,42,Arizona State,28
9/21/2013,Sat,Syracuse,52,Tulane,17
9/21/2013,Sat,Texas,31,Kansas State,21
9/21/2013,Sat,Texas A&M,42,Southern Methodist,13
9/21/2013,Sat,Texas Tech,33,Texas State,7
9/21/2013,Sat,Texas-San Antonio,32,Texas-El Paso,13
9/21/2013,Sat,Toledo,38,Central Michigan,17
9/21/2013,Sat,UCLA,59,New Mexico State,13
9/21/2013,Sat,Utah,20,Brigham Young,13
9/21/2013,Sat,Vanderbilt,24,Massachusetts,7
9/21/2013,Sat,Virginia,49,Virginia Military Institute,0
9/21/2013,Sat,Virginia Tech,29,Marshall,21
9/21/2013,Sat,Wake Forest,25,Army,11
9/21/2013,Sat,Washington,56,Idaho State,0
9/21/2013,Sat,Washington State,42,Idaho,0
9/21/2013,Sat,Western Kentucky,58,Morgan State,17
9/21/2013,Sat,Wisconsin,41,Purdue,10
9/21/2013,Sat,Wyoming,56,Air Force,23
9/26/2013,Thu,Iowa State,38,Tulsa,21
9/26/2013,Thu,Virginia Tech,17,Georgia Tech,10
9/27/2013,Fri,Brigham Young,37,Middle Tennessee State,10
9/27/2013,Fri,Utah State,40,San Jose State,12
9/28/2013,Sat,Alabama,25,Mississippi,0
9/28/2013,Sat,Arizona State,62,USC,41
9/28/2013,Sat,Army,35,Louisiana Tech,16
9/28/2013,Sat,Ball State,31,Toledo,24
9/28/2013,Sat,Boise State,60,Southern Mississippi,7
9/28/2013,Sat,Bowling Green State,31,Akron,14
9/28/2013,Sat,Buffalo,41,Connecticut,12
9/28/2013,Sat,Clemson,56,Wake Forest,7
9/28/2013,Sat,Colorado State,59,Texas-El Paso,42
9/28/2013,Sat,Duke,38,Troy,31
9/28/2013,Sat,East Carolina,55,North Carolina,31
9/28/2013,Sat,Florida,24,Kentucky,7
9/28/2013,Sat,Florida State,48,Boston College,34
9/28/2013,Sat,Fresno State,42,Hawaii,37
9/28/2013,Sat,Georgia,44,LSU,41
9/28/2013,Sat,Houston,59,Texas-San Antonio,28
9/28/2013,Sat,Idaho,26,Temple,24
9/28/2013,Sat,Illinois,50,Miami (OH),14
9/28/2013,Sat,Iowa,23,Minnesota,7
9/28/2013,Sat,Kent State,32,Western Michigan,14
9/28/2013,Sat,Miami (Florida),49,South Florida,21
9/28/2013,Sat,Missouri,41,Arkansas State,19
9/28/2013,Sat,Nevada,45,Air Force,42
9/28/2013,Sat,Nevada-Las Vegas,56,New Mexico,42
9/28/2013,Sat,North Carolina State,48,Central Michigan,14
9/28/2013,Sat,Northern Illinois,55,Purdue,24
9/28/2013,Sat,Ohio State,31,Wisconsin,24
9/28/2013,Sat,Oklahoma,35,Notre Dame,21
9/28/2013,Sat,Oregon,55,California,16
9/28/2013,Sat,Oregon State,44,Colorado,17
9/28/2013,Sat,Pittsburgh,14,Virginia,3
9/28/2013,Sat,Rice,18,Florida Atlantic,14
9/28/2013,Sat,San Diego State,26,New Mexico State,16
9/28/2013,Sat,South Carolina,28,Central Florida,25
9/28/2013,Sat,Stanford,55,Washington State,17
9/28/2013,Sat,Tennessee,31,South Alabama,24
9/28/2013,Sat,Texas A&M,45,Arkansas,33
9/28/2013,Sat,TCU,48,Southern Methodist,17
9/28/2013,Sat,Texas State,42,Wyoming,21
9/28/2013,Sat,Tulane,31,Louisiana-Monroe,14
9/28/2013,Sat,Vanderbilt,52,Alabama-Birmingham,24
9/28/2013,Sat,Washington,31,Arizona,13
9/28/2013,Sat,West Virginia,30,Oklahoma State,21
9/28/2013,Sat,Western Kentucky,19,Navy,7
10/3/2013,Thu,Texas,31,Iowa State,30
10/3/2013,Thu,UCLA,34,Utah,27
10/3/2013,Thu,Western Kentucky,31,Louisiana-Monroe,10
10/4/2013,Fri,Brigham Young,31,Utah State,14
