Wk,Date,Day,Winner,Pts,Loser,Pts
9,10/29/2011,Sat,Western Michigan,45,Ball State,35
9,10/29/2011,Sat, Oklahoma State,59,Baylor,24
5,10/1/2011,Sat,Miami (Florida),45,Bethune-Cookman,14
6,10/8/2011,Sat, Clemson,36,Boston College,14
12,11/19/2011,Sat, Notre Dame,16,Boston College,14
8,10/22/2011,Sat, Virginia Tech,30,Boston College,14
2,9/10/2011,Sat,Central Florida,30,Boston College,3
3,9/17/2011,Sat,Duke,20,Boston College,19
10,11/3/2011,Thu,Florida State,38,Boston College,7
1,9/3/2011,Sat,Northwestern,24,Boston College,17
5,10/1/2011,Sat,Wake Forest,27,Boston College,19
9,10/29/2011,Sat,Kent State,27,Bowling Green State,15
11,11/8/2011,Tue,Northern Illinois,45,Bowling Green State,14
12,11/16/2011,Wed,Ohio,29,Bowling Green State,28
7,10/15/2011,Sat,Toledo,28,Bowling Green State,21
5,10/1/2011,Sat,West Virginia,55,Bowling Green State,10
6,10/8/2011,Sat,Western Michigan,45,Bowling Green State,21
3,9/17/2011,Sat,Wyoming,28,Bowling Green State,27
2,9/10/2011,Sat, Texas,17,Brigham Young,16
9,10/28/2011,Fri,TCU,38,Brigham Young,28
3,9/17/2011,Sat,Utah,54,Brigham Young,10
3,9/17/2011,Sat,Ball State,28,Buffalo,25
13,11/25/2011,Fri,Bowling Green State,42,Buffalo,28
4,9/24/2011,Sat,Connecticut,17,Buffalo,3
11,11/12/2011,Sat,Eastern Michigan,30,Buffalo,17
9,10/29/2011,Sat,Miami (OH),41,Buffalo,13
8,10/22/2011,Sat,Northern Illinois,31,Buffalo,30
1,9/3/2011,Sat,Pittsburgh,35,Buffalo,16
7,10/15/2011,Sat,Temple,34,Buffalo,0
5,10/1/2011,Sat,Tennessee,41,Buffalo,10
4,9/24/2011,Sat,Northern Illinois,47,Cal Poly,30
1,9/3/2011,Sat,San Diego State,49,Cal Poly,21
12,11/19/2011,Sat, Stanford,31,California,28
6,10/6/2011,Thu,Oregon,43,California,15
7,10/13/2011,Thu,USC,30,California,9
18,12/28/2011,Wed,Texas,21,California,10
18,12/28/2011,Wed,Texas,21,California,10
9,10/29/2011,Sat,UCLA,31,California,14
4,9/24/2011,Sat,Washington,31,California,23
1,9/1/2011,Thu,Arizona State,48,California-Davis,14
4,9/24/2011,Sat,Hawaii,56,California-Davis,14
4,9/24/2011,Sat,Arkansas State,53,Central Arkansas,24
2,9/10/2011,Sat,Louisiana Tech,48,Central Arkansas,42
11,11/12/2011,Sat, Southern Mississippi,30,Central Florida,29
8,10/20/2011,Thu,Alabama-Birmingham,26,Central Florida,24
4,9/23/2011,Fri,Brigham Young,24,Central Florida,17
12,11/19/2011,Sat,East Carolina,38,Central Florida,31
3,9/17/2011,Sat,Florida International,17,Central Florida,10
7,10/15/2011,Sat,Southern Methodist,38,Central Florida,17
10,11/3/2011,Thu,Tulsa,24,Central Florida,17
8,10/22/2011,Sat,Ball State,31,Central Michigan,27
7,10/15/2011,Sat,Eastern Michigan,35,Central Michigan,28
10,11/4/2011,Fri,Kent State,24,Central Michigan,21
2,9/10/2011,Sat,Kentucky,27,Central Michigan,13
4,9/24/2011,Sat,Michigan State,45,Central Michigan,7
6,10/8/2011,Sat,North Carolina State,38,Central Michigan,24
11,11/10/2011,Thu,Ohio,43,Central Michigan,28
12,11/18/2011,Fri,Toledo,44,Central Michigan,17
3,9/17/2011,Sat,Western Michigan,44,Central Michigan,14
2,9/10/2011,Sat, Florida State,62,Charleston Southern,10
1,9/3/2011,Sat,Central Florida,62,Charleston Southern,0
1,9/3/2011,Sat, Nebraska,40,Chattanooga,7
12,11/19/2011,Sat,Rutgers,20,Cincinnati,3
2,9/10/2011,Sat,Tennessee,45,Cincinnati,23
12,11/19/2011,Sat, South Carolina,41,Citadel,20
3,9/17/2011,Sat,Georgia,59,Coastal Carolina,0
9,10/29/2011,Sat, Arizona State,48,Colorado,14
8,10/22/2011,Sat, Oregon,45,Colorado,2
10,11/4/2011,Fri, Southern California,42,Colorado,17
6,10/8/2011,Sat, Stanford,48,Colorado,7
2,9/10/2011,Sat,California,36,Colorado,33
1,9/3/2011,Sat,Hawaii,34,Colorado,17
4,9/24/2011,Sat,Ohio State,37,Colorado,17
12,11/19/2011,Sat,UCLA,45,Colorado,6
7,10/15/2011,Sat,Washington,52,Colorado,24
5,10/1/2011,Sat,Washington State,31,Colorado,27
7,10/15/2011,Sat, Boise State,63,Colorado State,13
13,11/26/2011,Sat,Air Force,45,Colorado State,21
3,9/17/2011,Sat,Colorado,28,Colorado State,14
9,10/29/2011,Sat,Nevada-Las Vegas,38,Colorado State,35
11,11/12/2011,Sat,San Diego State,18,Colorado State,15
5,10/1/2011,Sat,San Jose State,38,Colorado State,31
12,11/19/2011,Sat,TCU,34,Colorado State,10
8,10/22/2011,Sat,Texas-El Paso,31,Colorado State,17
14,12/3/2011,Sat,Wyoming,22,Colorado State,19
6,10/8/2011,Sat, West Virginia,43,Connecticut,16
14,12/3/2011,Sat,Cincinnati,35,Connecticut,27
3,9/16/2011,Fri,Iowa State,24,Connecticut,20
12,11/19/2011,Sat,Louisville,34,Connecticut,20
9,10/26/2011,Wed,Pittsburgh,35,Connecticut,20
2,9/10/2011,Sat,Vanderbilt,24,Connecticut,21
5,10/1/2011,Sat,Western Michigan,38,Connecticut,31
1,9/3/2011,Sat,Navy,40,Delaware,17
2,9/10/2011,Sat, Stanford,44,Duke,14
9,10/29/2011,Sat, Virginia Tech,14,Duke,10
7,10/15/2011,Sat,Florida State,41,Duke,16
12,11/19/2011,Sat,Georgia Tech,38,Duke,31
10,11/5/2011,Sat,Miami (Florida),49,Duke,14
13,11/26/2011,Sat,North Carolina,37,Duke,21
1,9/3/2011,Sat,Richmond,23,Duke,21
11,11/12/2011,Sat,Virginia,31,Duke,21
8,10/22/2011,Sat,Wake Forest,24,Duke,23
1,9/3/2011,Sat, South Carolina,56,East Carolina,37
1,9/3/2011,Sat, South Carolina,56,East Carolina,37
2,9/10/2011,Sat, Virginia Tech,17,East Carolina,10
6,10/8/2011,Sat,Houston,56,East Carolina,3
13,11/26/2011,Sat,Marshall,34,East Carolina,27
5,10/1/2011,Sat,North Carolina,35,East Carolina,20
10,11/5/2011,Sat,Southern Mississippi,48,East Carolina,28
11,11/12/2011,Sat,Texas-El Paso,22,East Carolina,17
2,9/10/2011,Sat,Northwestern,42,Eastern Illinois,21
1,9/3/2011,Sat,Kansas State,10,Eastern Kentucky,7
10,11/5/2011,Sat,Ball State,33,Eastern Michigan,31
12,11/19/2011,Sat,Kent State,28,Eastern Michigan,22
3,9/17/2011,Sat,Michigan,31,Eastern Michigan,3
13,11/25/2011,Fri,Northern Illinois,18,Eastern Michigan,12
4,9/24/2011,Sat,Penn State,34,Eastern Michigan,6
6,10/8/2011,Sat,Toledo,54,Eastern Michigan,16
1,9/3/2011,Sat,Washington,30,Eastern Washington,27
1,9/3/2011,Sat,Vanderbilt,45,Elon,14
7,10/15/2011,Sat, Auburn,17,Florida,6
9,10/29/2011,Sat, Georgia,24,Florida,20
9,10/29/2011,Sat, Georgia,24,Florida,20
11,11/12/2011,Sat, South Carolina,17,Florida,12
13,11/26/2011,Sat,Florida State,21,Florida,7
3,9/17/2011,Sat, South Florida,70,Florida A&M,17
2,9/10/2011,Sat, Michigan State,44,Florida Atlantic,0
10,11/5/2011,Sat,Arkansas State,39,Florida Atlantic,21
4,9/24/2011,Sat,Auburn,30,Florida Atlantic,14
1,9/3/2011,Sat,Florida,41,Florida Atlantic,3
11,11/12/2011,Sat,Florida International,41,Florida Atlantic,7
5,10/1/2011,Sat,Louisiana,37,Florida Atlantic,34
