Date,Day,Winner,Pts,Loser,Pts
10/10/2009,Sat,Ohio State,31,Wisconsin,13
10/10/2009,Sat,Oklahoma,33,Baylor,7
10/10/2009,Sat,Oklahoma State,36,Texas A&M,31
10/10/2009,Sat,Oregon,24,UCLA,10
10/10/2009,Sat,Oregon State,38,Stanford,28
10/10/2009,Sat,Penn State,52,Eastern Illinois,3
10/10/2009,Sat,Pittsburgh,24,Connecticut,21
10/10/2009,Sat,Rutgers,42,Texas Southern,0
10/10/2009,Sat,South Carolina,28,Kentucky,26
10/10/2009,Sat,Southern Methodist,28,East Carolina,21
10/10/2009,Sat,Temple,24,Ball State,19
10/10/2009,Sat,Tennessee,45,Georgia,19
10/10/2009,Sat,Texas,38,Colorado,14
10/10/2009,Sat,TCU,20,Air Force,17
10/10/2009,Sat,Texas Tech,66,Kansas State,14
10/10/2009,Sat,Utah,24,Colorado State,17
10/10/2009,Sat,Virginia,47,Indiana,7
10/10/2009,Sat,Virginia Tech,48,Boston College,14
10/10/2009,Sat,Wake Forest,42,Maryland,32
10/10/2009,Sat,Washington,36,Arizona,33
10/10/2009,Sat,West Virginia,34,Syracuse,13
10/10/2009,Sat,Western Michigan,58,Toledo,26
10/10/2009,Sat,Wyoming,37,New Mexico,13
10/13/2009,Tue,Louisiana-Monroe,16,Arkansas State,10
10/14/2009,Wed,Boise State,28,Tulsa,21
10/15/2009,Thu,Cincinnati,34,South Florida,17
10/16/2009,Fri,Pittsburgh,24,Rutgers,17
10/17/2009,Sat,Air Force,10,Wyoming,0
10/17/2009,Sat,Alabama,20,South Carolina,6
10/17/2009,Sat,Arizona,43,Stanford,38
10/17/2009,Sat,Arizona State,24,Washington,17
10/17/2009,Sat,Boston College,52,North Carolina State,20
10/17/2009,Sat,Bowling Green State,31,Ball State,17
10/17/2009,Sat,Brigham Young,38,San Diego State,28
10/17/2009,Sat,Buffalo,21,Akron,17
10/17/2009,Sat,California,45,UCLA,26
10/17/2009,Sat,Central Michigan,34,Western Michigan,23
10/17/2009,Sat,Clemson,38,Wake Forest,3
10/17/2009,Sat,Colorado,34,Kansas,30
10/17/2009,Sat,Connecticut,38,Louisville,25
10/17/2009,Sat,East Carolina,49,Rice,13
10/17/2009,Sat,Florida,23,Arkansas,20
10/17/2009,Sat,Florida Atlantic,44,North Texas,40
10/17/2009,Sat,Fresno State,41,San Jose State,21
10/17/2009,Sat,Georgia,34,Vanderbilt,10
10/17/2009,Sat,Georgia Tech,28,Virginia Tech,23
10/17/2009,Sat,Houston,44,Tulane,16
10/17/2009,Sat,Idaho,35,Hawaii,23
10/17/2009,Sat,Indiana,27,Illinois,14
10/17/2009,Sat,Iowa,20,Wisconsin,10
10/17/2009,Sat,Iowa State,24,Baylor,10
10/17/2009,Sat,Kansas State,62,Texas A&M,14
10/17/2009,Sat,Kent State,28,Eastern Michigan,6
10/17/2009,Sat,Kentucky,21,Auburn,14
10/17/2009,Sat,Louisiana,30,Western Kentucky,22
10/17/2009,Sat,Louisiana Tech,45,New Mexico State,7
10/17/2009,Sat,Miami (Florida),27,Central Florida,7
10/17/2009,Sat,Michigan,63,Delaware State,6
10/17/2009,Sat,Michigan State,24,Northwestern,14
10/17/2009,Sat,Mississippi,48,Alabama-Birmingham,13
10/17/2009,Sat,Mississippi State,27,Middle Tennessee State,6
10/17/2009,Sat,Navy,38,Southern Methodist,35
10/17/2009,Sat,Nevada,35,Utah State,32
10/17/2009,Sat,Ohio,28,Miami (OH),7
10/17/2009,Sat,Oklahoma State,33,Missouri,17
10/17/2009,Sat,Penn State,20,Minnesota,0
10/17/2009,Sat,Purdue,26,Ohio State,18
10/17/2009,Sat,USC,34,Notre Dame,27
10/17/2009,Sat,Southern Mississippi,36,Memphis,16
10/17/2009,Sat,Temple,27,Army,13
10/17/2009,Sat,Texas,16,Oklahoma,13
10/17/2009,Sat,Texas,16,Oklahoma,13
10/17/2009,Sat,TCU,44,Colorado State,6
10/17/2009,Sat,Texas Tech,31,Nebraska,10
10/17/2009,Sat,Toledo,20,Northern Illinois,19
10/17/2009,Sat,Troy,42,Florida International,33
10/17/2009,Sat,Utah,35,Nevada-Las Vegas,15
10/17/2009,Sat,Virginia,20,Maryland,9
10/17/2009,Sat,West Virginia,24,Marshall,7
10/21/2009,Wed,Texas-El Paso,28,Tulsa,24
10/22/2009,Thu,Florida State,30,North Carolina,27
10/23/2009,Fri,Rutgers,27,Army,10
10/24/2009,Sat,Alabama,12,Tennessee,10
10/24/2009,Sat,Arizona,27,UCLA,13
10/24/2009,Sat,Arkansas State,27,Florida International,10
10/24/2009,Sat,Ball State,29,Eastern Michigan,27
10/24/2009,Sat,Boise State,54,Hawaii,9
10/24/2009,Sat,California,49,Washington State,17
10/24/2009,Sat,Central Florida,49,Rice,7
10/24/2009,Sat,Central Michigan,24,Bowling Green State,10
10/24/2009,Sat,Cincinnati,41,Louisville,10
10/24/2009,Sat,Clemson,40,Miami (Florida),37
10/24/2009,Sat,Duke,17,Maryland,13
10/24/2009,Sat,Florida,29,Mississippi State,19
10/24/2009,Sat,Florida Atlantic,51,Louisiana,29
10/24/2009,Sat,Fresno State,34,New Mexico State,3
10/24/2009,Sat,Georgia Tech,34,Virginia,9
10/24/2009,Sat,Houston,38,Southern Methodist,15
10/24/2009,Sat,Iowa,15,Michigan State,13
10/24/2009,Sat,Iowa State,9,Nebraska,7
10/24/2009,Sat,Kansas State,20,Colorado,6
10/24/2009,Sat,Kent State,20,Ohio,11
10/24/2009,Sat,Kentucky,36,Louisiana-Monroe,13
10/24/2009,Sat,LSU,31,Auburn,10
10/24/2009,Sat,Marshall,27,Alabama-Birmingham,7
10/24/2009,Sat,Middle Tennessee State,62,Western Kentucky,24
10/24/2009,Sat,Mississippi,30,Arkansas,17
10/24/2009,Sat,Navy,13,Wake Forest,10
10/24/2009,Sat,Nevada,70,Idaho,45
10/24/2009,Sat,Nevada-Las Vegas,34,New Mexico,17
10/24/2009,Sat,Northern Illinois,27,Miami (OH),22
10/24/2009,Sat,Northwestern,29,Indiana,28
10/24/2009,Sat,Notre Dame,20,Boston College,16
10/24/2009,Sat,Ohio State,38,Minnesota,7
10/24/2009,Sat,Oklahoma,35,Kansas,13
10/24/2009,Sat,Oklahoma State,34,Baylor,7
10/24/2009,Sat,Oregon,43,Washington,19
10/24/2009,Sat,Penn State,35,Michigan,10
10/24/2009,Sat,Pittsburgh,41,South Florida,14
10/24/2009,Sat,Purdue,24,Illinois,14
10/24/2009,Sat,San Diego State,42,Colorado State,28
10/24/2009,Sat,South Carolina,14,Vanderbilt,10
10/24/2009,Sat,USC,42,Oregon State,36
10/24/2009,Sat,Southern Mississippi,43,Tulane,6
10/24/2009,Sat,Stanford,33,Arizona State,14
10/24/2009,Sat,Syracuse,28,Akron,14
10/24/2009,Sat,Temple,40,Toledo,24
10/24/2009,Sat,Texas,41,Missouri,7
10/24/2009,Sat,Texas A&M,52,Texas Tech,30
10/24/2009,Sat,TCU,38,Brigham Young,7
10/24/2009,Sat,Troy,50,North Texas,26
10/24/2009,Sat,Utah,23,Air Force,16
10/24/2009,Sat,Utah State,23,Louisiana Tech,21
10/24/2009,Sat,West Virginia,28,Connecticut,24
10/24/2009,Sat,Western Michigan,34,Buffalo,31
10/27/2009,Tue,East Carolina,38,Memphis,19
10/29/2009,Thu,North Carolina,20,Virginia Tech,17
10/30/2009,Fri,South Florida,30,West Virginia,19
10/31/2009,Sat,Air Force,34,Colorado State,16
10/31/2009,Sat,Alabama-Birmingham,38,Texas-El Paso,33
10/31/2009,Sat,Arkansas,63,Eastern Michigan,27
10/31/2009,Sat,Auburn,33,Mississippi,20
10/31/2009,Sat,Boise State,45,San Jose State,7
10/31/2009,Sat,Boston College,31,Central Michigan,10
10/31/2009,Sat,California,23,Arizona State,21
10/31/2009,Sat,Cincinnati,28,Syracuse,7
10/31/2009,Sat,Clemson,49,Coastal Carolina,3
10/31/2009,Sat,Duke,28,Virginia,17
10/31/2009,Sat,Florida,41,Georgia,17
10/31/2009,Sat,Florida International,20,Louisiana,17
10/31/2009,Sat,Florida State,45,North Carolina State,42
10/31/2009,Sat,Fresno State,31,Utah State,27
10/31/2009,Sat,Georgia Tech,56,Vanderbilt,31
10/31/2009,Sat,Houston,50,Southern Mississippi,43
10/31/2009,Sat,Idaho,35,Louisiana Tech,34
